Div;ValorMercado;PL;Passivo;AtivoTotal;LL
1197353;57922314.51;20765793;147220443;167986236;9149243
999;98434.1;120858;74169;195027;2958
100984;1525131.04;1654177;13789828;15444005;629296
701;93390.25;118992;45188;164180;2904
408033;9539424.313;7650882;71814852;79465734;4522975
393442;5275075.709;8475961;81691262;90167223;6722565
399170;6142074.709;8356683;78226113;86582796;4958711
10395;513731.8749;505160;6544366;7049526;475176
999;82218;120283;81347;201630;9752
8098254;91697262.83;134597485;1575636514;1710233999;77098117
96981;1892759.2;1560072;22698022;24258094;1664449
21420;538417.2953;474121;5312138;5786259;336948
168129;6056860.5;1991760;17611854;19603614;1307670
155463;5971507.318;2089094;19833055;21922149;2050554
168129;6056860.5;1991760;17611854;19603614;1307670
10118734;104137004.1;77234385;904984226;982218611;101346732
14047;392765.1;842618;8477345;9319963;570838
86715;5699915.452;5044366;28254288;33298654;2403902
20249433;311968569.8;122436767;1528987800;1651424567;36148069
42732;1049763.692;2877923;17634411;20512334;537554
109096;1609388.25;1691949;33855700;35547649;1225910
69800;3722287.955;4162539;24351408;28513947;1781207
72115;1670347.04;1753831;14536625;16290456;1948935
69800;10196328.66;4234202;25975540;30209742;3815290
4206516;135711056.9;118295645;1398663722;1516959367;31783342
147528;4059437;5709401;53970010;59679411;2857130
315261;6900179.19;6714045;52407419;59121464;1314607
20083;541015.7606;489982;5780009;6269991;165860
6190898;126792704.7;123272463;1374156437;1497428900;100951643
100984;1356684;1711283;14417688;16128971;1286051
10281445;105142463.6;74301857;913377000;987678857;79563473
162;78676.5;119372;62478;181850;5722
42732;865958.6961;2801928;17727152;20529080;317288
21420;563484.8429;428831;5326142;5754973;162442
14950;667810.2841;1498976;12094260;13593236;338614
6091999;170739462.6;70945661;765311924;836257585;38580561
6465706;84512935.8;136848787;1633074412;1769923199;103714786
77636;1565279.45;1512577;24079553;25592130;562713
19053;766348.247;2657047;17515719;20172766;666253
1673;100836.8;120440;117809;238249;5254
833;94256.15;120957;85524;206481;8567
17751148;158941275.6;129269000;1305238000;1434507000;25852000
553764;5418616.759;8235455;75034551;83270006;2921366
22746664;327838988.1;127712493;1550665678;1678378171;73847848
144125;9716770.09;4837933;26710291;31548224;5982421
20083;557600.0832;498858;6027874;6526732;321937
22994924;317285180.1;127749972;1610589258;1738339230;116202775
82436;1785572.28;1521392;26443361;27964753;1107851
560500;88180255.95;26102005;227109881;253211886;15873731
6435532;261708038;131900753;1221606217;1353506970;101198008
95535;1923557.62;1653120;25532838;27185958;875534
6384690;285870471.9;128081843;1217809871;1345891714;68677808
6483196;270348507.8;124118122;1191407835;1315525957;34887737
19255475;214101997.7;133526000;1976594000;2110120000;111811000
147010;3627582;5339590;54431926;59771516;1293954
32820;639451.7402;493452;5394688;5888140;509881
523636;9521957.218;7832382;72805184;80637566;7112473
5369263;150302326.8;120734072;1420665970;1541400042;63128151
19053;1167754.64;2659064;17942690;20601754;1047382
86715;10604493.86;5131971;28171855;33303826;4892540
94935;1584808.21;1642894;25486479;27129373;486158
109814;1633680;1921327;15997266;17918593;649732
14630;471545.62;866643;8762405;9629048;1143978
18823;721363.6052;1509607;15363536;16873143;550793
1201475;42846595.01;19412624;192392985;211805609;2601695
7010117;101141748.7;73162051;927220931;1000382982;51691916
213638;9785055.703;5235579;29703768;34939347;6969268
13721416;165342937.1;134444553;1461502157;1595946710;73235591
361100;10020694.62;7554247;70316349;77870596;2264697
6125989;163053455.6;68630718;735048464;803679182;20550513
42732;1141369.73;2893348;17942587;20835935;737868
109814;1633680;1921327;15997266;17918593;649732
7121003;79546978.91;132665034;1447525350;1580190384;47256749
19053;809334.8991;2588796;16950941;19539737;338053
26142218;220402687.4;127637000;1854861000;1982498000;55542000
592853;50618878.65;20526511;153103217;173629728;5693984
624000;43920725.09;22050262;178306781;200357043;6473194
18840458;241325419.3;130044000;1945078000;2075122000;117428000
18800;734965.1865;1528400;15584541;17112941;766623
13742344;175191036.9;131656723;1382715648;1514372371;47046588
50719;13540161.45;3254979;13219778;16474757;636681
6430411;170268793.9;73524016;765208702;838732718;67552367
1165000;85619942.09;25633126;204778054;230411180;11471682
16847;602805.84;948975;9138552;10087527;664161
